"특성별(1)",특성별(2),단순 노무 종사자,서비스 종사자,전문가 및 관련 종사자,기능원 및 관련 기능 종사자,장치 기계 조작 및 조립 종사자,사무 종사자,관리자,판매 종사자,농림 어업 숙련 종사자,군인
"전체",소계,23.9,23.9,11.1,7.6,8.7,9.3,8.8,5.3,1.4,0.2
"성별",남자,22.5,10.2,11.1,17.9,18.3,3.3,10.7,3.8,2.0,0.2
"성별",여자,24.4,29.6,11.1,3.3,4.7,11.7,8.1,5.9,1.1,0.1
"연령별",15~19세,16.9,51.0,11.1,4.2,3.4,6.6,0.0,6.6,0.0,0.0
"연령별",20대,21.4,22.8,16.4,7.9,8.4,7.2,5.3,9.7,0.0,0.8
"연령별",30대,14.8,22.8,14.2,8.2,6.9,11.9,11.9,7.7,1.6,0.0
"연령별",40대,25.5,21.6,8.4,8.3,10.5,12.3,9.0,3.3,0.7,0.3
"연령별",50대,28.8,25.7,10.7,5.7,8.9,6.4,7.2,4.6,2.1,0.0
"연령별",60대 이상,32.1,29.4,7.0,9.7,7.4,1.6,8.6,1.9,2.4,0.0
"거주지역별",수도권,24.2,21.6,13.2,6.3,9.1,10.6,9.0,5.6,0.3,0.1
"거주지역별",수도권_서울,19.9,18.9,17.8,6.5,4.8,15.1,10.6,5.9,0.5,0.0
"거주지역별",수도권_경기,23.4,25.0,10.8,6.4,10.9,8.3,8.1,6.5,0.3,0.2
"거주지역별",수도권_인천,35.6,14.8,12.1,5.5,11.6,9.6,9.0,1.9,0.0,0.0
"거주지역별",비수도권,23.2,28.0,7.5,9.9,8.0,6.9,8.5,4.7,3.2,0.3
"남한거주기간별",3년 미만,38.9,34.2,5.5,8.2,3.5,0.0,3.4,6.3,0.0,0.0
"남한거주기간별",3~5년 미만,35.3,25.2,6.8,10.6,5.5,5.1,5.4,5.6,0.3,0.0
"남한거주기간별",5~10년 미만,26.6,23.4,9.0,8.5,7.8,11.8,6.0,5.9,0.6,0.4
"남한거주기간별",10년 이상,21.9,23.7,12.1,7.1,9.3,9.1,9.9,5.0,1.7,0.1
"남북통합학력별",초등학교 졸업 이하,21.4,22.6,0.0,7.0,25.4,0.0,10.7,12.9,0.0,0.0
"남북통합학력별",중고등학교 졸업 이하,28.7,27.5,6.4,8.4,10.2,5.8,7.0,4.2,1.6,0.2
"남북통합학력별",전문대학 졸업 이하,17.7,26.4,11.2,7.5,5.8,15.0,7.7,7.1,1.7,0.0
"남북통합학력별",대학교 재학 이상,13.8,11.5,26.1,5.3,4.8,16.3,14.9,6.4,0.6,0.4
"남북통합학력별",기타/무응답,52.3,21.8,0.0,8.4,10.9,0.0,6.6,0.0,0.0,0.0
"종사상지위별",임금근로자,27.7,23.2,11.8,7.7,9.3,10.8,3.6,5.0,0.6,0.2
"종사상지위별",임금근로자_상용근로자,22.1,21.1,14.6,7.2,11.4,13.5,5.0,4.3,0.5,0.3
"종사상지위별",임금근로자_임시근로자,32.8,31.0,9.9,6.1,4.2,7.5,0.3,7.7,0.4,0.0
"종사상지위별",임금근로자_일용근로자,47.8,25.5,1.3,11.4,5.1,1.7,0.3,5.5,1.4,0.0
"종사상지위별",자영업자,6.7,27.4,8.4,7.1,5.3,2.3,32.8,6.7,3.2,0.0
"종사상지위별",무급가족종사자,13.4,11.5,0.0,6.8,20.3,9.4,6.8,0.0,31.7,0.0
"주당근로시간별",36시간 미만,28.1,32.3,8.9,1.9,4.6,8.3,4.6,10.0,1.5,0.0
"주당근로시간별",36시간 이상,22.7,21.7,11.7,9.1,9.8,9.5,9.9,4.0,1.3,0.2
"근로 유형",임금근로자,27.7,23.2,11.8,7.7,9.3,10.8,3.6,5.0,0.6,0.2
"근로 유형",비임금근로자,7.0,26.7,8.0,7.1,6.0,2.6,31.6,6.4,4.5,0.0
